,claim,label
4023,Photograph shows Gods being treated by Hindu Priests in India.,0
4022,All virologists already knew. This article appeared in the Journal of Virology 2005! Chloroquine prevents and cures for over 15 years,0
4021,"Camila Pitanga returns to the internet and shocks fans by revealing that after undergoing treatment with chloroquine, she discovered errors in medical reports, which pointed to Covid-19 instead of malaria",0
4032,"Russian President Vladimir Putinâ€™s daughter died on August 15th, 2020, after taking a dose of a new COVID-19 vaccine.",0
3991,Post said China approved chloroquine with 100% effectiveness,0
4095,"Image shows the Indian Tricolour hoisted on the clock tower at Lal Chowk, Srinagar.",0
4097,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4172,"By ignoring a ban on performing COVID-19 autopsies, researchers in Italy discovered that the disease is caused by a bacteria â€” not a virus â€” and can simply be treated with aspirin.",0
4171,"Champions, Atletico Madrid Covid-positive. Juventus recovered",0
4170,"Anthony Fauci: Â«The more things we can do to mitigate the risk of exposure, the better we are all, in my opinion. It not only flattens the curve and allows healthcare professionals to maintain service levels that are not immediately and catastrophically overwhelmed; it also reduces unnecessary suffering and deaths and buys time for the scientific community to study the virus to come to a broader understanding of the magnitude of its short- and long-term impact. I totally reject the idea that it is ""just a virus"" and eventually we will all catch it. It""s a selfish, lazy and heartless position """,0
4169,"Deaths in Brazil: July 2019 - 119,390 (without pandemic) July 2020 - 113,475 (with pandemic)",0
4168,"Porto Feliz has 125 thousand inhabitants, so far no patient has been intubated, has not lost a single life, as the Mayor is a doctor, the use of Hydroxychloroquine is mandatory when symptoms appear, even before the results of the exams. Only the media needed to publish this",0
4167,Canada is free of COVID-19.,0
4165,"A Facebook post claims COVID-19 tests cannot distinguish between COVID-19, the flu and common cold. It also claims a 99.5 per cent ""survival rate"" for the coronavirus.",0
4164,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4173,Canada is free of COVID-19.,0
4162,"The mouse killer contains ivermectin, a drug to prevent coronavirus",0
4160,Camila Pitanga contracted Covid-19 but she thinks she has malaria so she can take chloroquine.,0
4159,Putins daughter was among the volunteers for covid 19 vaccine trials.,0
4155,Four Ukrainian soldiers died after taking part in COVID-19 vaccine trials conducted by the United States of America.,0
4154,# All passenger / express / other trains closed till 30 September due to corona epidemic. Railway extends cancellation of all passenger / express / suburban trains till 30 September in the wake of #COVID pandemic,0
4153,"75,000 deaths from other causes are being counted as Covid-19.",0
4152,Russian President Vladimir Putin has claimed that Russia has successfully developed a vaccine for Covid-19 and it has passed all checks.,0
4151,New Zealand PM Ardern visits a Hindu temple after declaring the nation free from COVID-19,0
4150,New Zealand PM Ardern visits a Hindu temple after declaring the nation free from COVID-19,0
4161,Putins daughter was among the volunteers for covid 19 vaccine trials.,0
4149,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4174,Tucker Carlson is the source of these comments on coronavirus-related measures,0
4176,"â€œCitizens, and residents of the Bolivian territory, may use the Chlorine Dioxide Solution, as an alternative means, to prevent or treat the infection and the consequences caused by the Coronavirus (COVID-19).""",0
4199,Young Dr Aisha died from COVID-19.,0
4198,"Fact Check: Did Australian scientists say that the American-made bio-weapon ""Kovid-19"" ..?",0
4197,"An image is circulating on social media showing the president of Brazil in a hospital bed, allegedly because he is infected with Covid-19.",0
4196,Video claims to show footage of Air India express crash landing at Calicut airport.,0
4195,The photo was taken in China in 2011 â€“ way before the first case of COVID-19 was recorded,0
4193,FAKE ALERT: Israel PM did not take responsibility for Beirut blasts,0
4192,â€œWe have never denied that coronavirus existed. This is the way mass media has presented it. How can we deny what is really here?â€,0
4191,Porto Alegre and You. Important notice to the community. Garbage collection officials ask families who have a sick Covid-19 relative to separate the garbage from their patient and place it in a bag with red tape and spray it with a disinfectant,0
4175,Putins daughter was among the volunteers for covid 19 vaccine trials.,0
4190,Canada is free of COVID-19.,0
4187,[0] PT Kawan Lama Head Office Chain Message Closed Because One of the Directors Died and 10 Employees Exposed to Covid-19,0
4184,Video shows Muslims uprooting saplings in Pakistan as planting trees is against Islam,0
4183,The USA has attained Herd-Immunity.,0
4182,"Transparency Portal! Deaths due to pneumonia in 2019: 97,091. Deaths from respiratory failure in 2019: 41,220. Did you understand where the 100,000 deaths are? Renamed pneumonia and respiratory failure to Covid-19",0
4181,"The basis of the plandemia is the tests for detecting the 0 virus, MANUFACTURED BY AN INSTITUTION THAT WAS IN PLANNING THIS. Look at the plush tag distributed in New York to participants in the virtual pandemic exercise event.",0
4180,A doctor from Garg hospital of Muzaffarnagar is arrested for stealing a kidney from a COVID-19 patient.,0
4178,Fact Check: Viral COVID-19 tests graph showing US reaching herd immunity is 0.,0
4177,Dr. Anthony Fauci wrote in a 2005 paper published in Virology Journal that hydroxychloroquine was effective in treating SARS.,0
4188,STAN will be closed for the next four years due to issues of radicalism,0
4096,"Photo shows Chinese tourists exempted from COVID-19 lockdown in Auckland, New Zealand, in August 2020",0
4148,"This face in a few days will appear on all the covers of scientific magazines and newspapers and TV channels around the planet, is Dr. Sarah Gilbert PhD professor at the University of Oxford. She will almost certainly win the Nobel Prize for medicine for being the scientist who discovered the vaccine against COVID-19.",0
4146,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4117,"Photos prove that the governor of SÃ£o Paulo, JoÃ£o Doria, took the ""Chinese vaccine"" against COVID-19 before testing positive for the new coronavirus",0
4116,"As part of the Coronavirus Act, children can be detained for 14 days without their parentsâ€™ consent, and their parents donâ€™t have to be informed, only a teacher, according to a letter from the Childrenâ€™s Commissioner.",0
4115,Trumpâ€™s claim that COVID-19 vaccine in USA could be ready before Nov. 3 is 1,0
4113,the image shows government officials in Japan bowing to COVID-19 front-line workers,0
4112,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4111,# All passenger / express / other trains closed till 30 September due to corona epidemic. Railway extends cancellation of all passenger / express / suburban trains till 30 September in the wake of #COVID pandemic,0
4110,"Jair Bolsonaro said chloroquine would save 100,000 lives",0
4109,The information offices of Tarlac province and Tarlac City both deny the claim,0
4119,A Facebook profile claims that President Jair Bolsonaro (without a party) cannot be held responsible for the deaths resulting from the pandemic,0
4108,Nobody died from the coronavirus,0
4106,"""Against the covid farce, more than two million people gathered in Berlin yesterday.""",0
4105,â€œEnd this lockdown. The pandemic is a scam. Bio-terrorists sabotage road signs â€,0
4104,"Data from the Civil Registry show that there is no chance that 100,000 people died in Brazil by Covid-19.",0
4103,One in six people will refuse a coronavirus vaccine.,0
4101,The United States has reached herd immunity for COVID-19,0
4100,Video shows Muslims taking out a mock funeral procession to celebrate Amit Shah testing positive for COVID-19.,0
4099,"A Facebook post claims medical studies show the flu vaccination will increase a person's susceptibility to COVID-19 and could be ""contributing to the outbreak"".",0
4098,"Dr. Elisa Granato, one of the first volunteers of a COVID-19 vaccine trial in the United Kingdom, died.",0
4107,"If you were sick with COVID-19 symptoms between September and February, you had the coronavirus",0
4147,Canada is free of COVID-19.,0
4120,School will remain closed until December,0
4122,JoÃ£o Doria took Chinese vaccine against covid-19,0
4145,"Are 100 thousand deaths by COVID ??? No, they are not, the governors issued decrees so that everyone who died in the SUS would have the corona virus certificate. We are not idiots! #BolsonaroTemRazao",0
4144,STF took from the president and gave governors and mayors powers to fight Covid-19,0
4142,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4139,"Undergoing COVID-19 treatment, famous Urdu Poet Rahat Indori passed away due to the massive heart attack in a hospital at Madhya Pradesh Indore, at the age of 70. Following his demise, a picture of a grave with flower bedding is doing rounds all over social media claiming that the grave is of Rahat Indori.",0
4138,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4137,Amit Shah has tested negative for COVID-19.,0
4135,A Facebook post claims that Prime Minister Jacinda Ardern declared New Zealand COVID-19 free during a visit to a Hindu temple in Auckland on August 6.,0
4134,Canadian children with COVID-19 symptoms will be quarantined separately from a parent,0
4121,Post on Twitter stated that JoÃ£o Doria had taken the Chinese vaccine,0
4133,Photo shows Japanese officials paying respect to people working to contain the coronavirus pandemic,0
4131,Indian Railways cancelled all regular trains till September 30th due to Coronavirus,0
4130,Former President of India Dr Pranab Mukherjee succumbed to COVID-19.,0
4129,Video shows Vladimir Putinâ€™s daughter getting vaccinated against COVID-19.,0
4128,Harvard professor Dr. Lieber created the Covid-19 virus and sold it to China,0
4127,Fact Check: Did 40 of the victims of the Kerala plane crash get Kovid-19 positive?,0
4126,"The Corona Covid-19 virus was made in the Chinese Communist Party""s military laboratory",0
4125,Doria took CoronaVac and was still diagnosed with Covid-19.,0
4124,"According to him, he will be in ""isolation"" to treat the covid. 1. How did he get covid if he wore a mask and was isolated? 2.What is the use of treating with isolation if he caught it in isolation? (...)",0
4132,The US has reached herd immunity for COVID-19,0
4200,40 people have tested COVID-19 positive after being rescued from Air India plane crash,0
3990,"Dr. Klinger""s formula cures coronavirus.",0
3988,Report against Spahn: Turkey allows chlorine dioxide as a drug,0
3861,"A woman assures that the pandemic ""has bypassed"" Sweden because it does not affect the countries free of contracts with the conspiracy",0
3860,French military have published a report warning that COVID-19 is a strategy to control the world,0
3859,"A post shared thousands of times since April presents the alleged differences between symptoms of a cold, air pollution, flu, and coronavirus. This list is signed by the Department of Pathology of the Indian Institute of Medical Sciences (AIIMS). But he denies having published it. In addition, this visual is reductive: the symptoms of Covid-19 can be similar to those of a flu or a cold and some patients do not develop symptoms at all, explain the health authorities. Indian Institute of Medical Sciences (AIIMS) in New Delhi has published a checklist to differentiate the Covid-19 virus from other viruses based on symptoms",0
3856,Kayleigh McEnany claimed that Obama promised a COVID vaccine,0
3855,Only 6% of deaths were caused exclusively by covid-19,0
3854,Canada has deemed it illegal to require the wearing of masks and other protective measures against COVID-19 illegal,0
3853,Swiss government document confirms PCR tests used to detect novel coronavirus tests are â€˜fakeâ€™,0
3852,Covid-19 regulations are illegal in Canada,0
3864,"the CDC removed the words ""COVID-19 Pandemic"" from its website and replaced them with ""COVID-19 Outbreak.""",0
3851,New COVID-19 medication prescription issued by ICMR,0
3849,"The coronavirus is not a virus, but a dead body postmortem was carried out from the corona in Italy.",0
3848,Photo shows the murder of a Hindu woman after getting married due to Love Jihad,0
3845,Swiss authorities officially confirmed that PCR tests used to diagnose novel coronavirus are fake.,0
3844,The Centers for Disease Control and Prevention (CDC) has removed â€œCovid-19 pandemicâ€ from its website and replaced it with â€œCovid-19 outbreakâ€.,0
3843,"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",0
3842,"Simon Thornley, senior lecturer in epidemiology, University of Auckland, claims the death rate for COVID-19 is only marginally worse than the seasonal flu.",0
3841,Indian Council of Medical Research (ICMR) issued guidelines for using Ivermectin drug as preventive medication against Covid-19.,0
3840,"According to a video released online at the end of August 2020, Dr. Fauci denied the asymptomatic transmission of Sars-Cov-2.",0
3850,Images show the aftermath of an Indian Air Force Rafale jet crash which killed two pilots.,0
3839,"Vladimir Putin approved the first vaccine against Covid-19 in August, ......",0
3865,Ben Swann reporting Dr. David Martin discusses the irrefutable paper trail that shows C0R0NAVlRUS was manipulated,0
3867,Multiple publications appeared on social networks claiming that Portugal ......,0
3888,Raj Thackeray tweeted that Kangana Ranaut is welcome in Mumbai on September 9 and challenged Sanjay Raut.,0
3887,"This is Fraud: 10% of Reported COVID-19 Deaths for Those Under 35 as Reported by the CDC Are Due to Poisoning, Trauma and Unintentional Injuries",0
3886,"According to the CDCâ€™s own data, COVID-19 has killed fewer than ten thousand people.",0
3885,Kangana Ranaut calls for boycott of The Kapil Sharma Show since it is produced by actor Salman Khan,0
3884,"A student from Pondicherry University has found a cure for COVID-19, which includes black pepper, ginger, honey.",0
3883,"The percentage of mortality in the US from covid-19 is barely 6% of all deaths attributed to the disease, according to an evangelical pastor",0
3882,"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",0
3881,"According to data from the World Bank, Greece has been supplied with coronavirus test since 2017, therefore those in charge ""knew"" about the coronavirus and the ""fraud"" of the current pandemic",0
3866,"not a single politician has died, lost their job or worn a mask during the COVID-19 pandemic",0
3880,"French military write report on ""real"" coronavirus targets",0
3877,Video shows Russian doctors celebrating the new COVID-19 vaccine.,0
3876,After Mr. Spb sir Kovid was released this sea and the other sea sang with us again,0
3875,"U.S. President Trump acknowledged that COVID-19 is deadlier than the flu in early February 2020, but continued to downplay the pandemic as ""like the flu"" in public.",0
3874,"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",0
3873,Twenty-one Pointer guidelines by ICMR,0
3872,"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",0
3870,Coronatests cannot detect coronavirus,0
3869,"A publication shared more than 2,500 times since August 19 says that ""most scientific committees"" have banned the mask ""following the WHO recommendations of June 5"". This is 0: on June 5, the WHO recommended on the contrary the widening of the wearing of the mask. A recommendation also made by the scientific committees in France and Belgium, where this publication is shared, according to the opinions of these committees available online. In addition, this visual contains several 0 claims about the dangers of the mask to health. On June 5, 2020, the WHO recommended a ban on wearing a mask because it is dangerous to health. The scientific committees have also banned the wearing of masks.",0
3879,The video that was claimed to be a Covid-19 demo video in Poland demanding an end to the pandemic,0
3889,"A student from Pondicherry University has found a cure for COVID-19, which includes black pepper, ginger, honey.",0
3838,"""The safest profession in Portugal is that of a politician. The virus has so far contaminated doctors, nurses, firefighters, plumbers, masons, truck drivers, accountants, finance officials, pensioners, the unemployed, and even prostitutes have not escaped their fury. Politicians , not a """,0
3835,160 doctors disapprove of the Covid vaccine because it will change our DNA,0
3807,"According to cardiologist Faidon Vovolis, COVID-19 is less dangerous than seasonal flu and was mistaken for a pandemic. In addition the use of a mask can cause serious health problems due to insufficient oxygen uptake and inhalation of outgoing carbon dioxide.",0
3806,The central government is providing Rs 1.5 Lakh for every Municipality for each coronavirus infected patient.,0
3805,"Video shows leopard walking in a balcony outside a room in Taj Hotel, Ranthambore, Rajasthan.",0
3802,"Li-Meng Yan, who was referred to as a â€œwhistleblowerâ€ by Fox News, is claiming that she has evidence supporting the â€œChina-made-the-virusâ€ conspiracy theory",0
3801,"""And if president had done his job -- had done his job from the beginning [of the coronavirus outbreak] -- all the people would still be alive. All the people -- I'm not making this up, just look at the data.""",0
3798,Italian doctor Roberto Petrella says Covid-19 is plan to reduce world population by more than 80%,0
3791,Unusual Features of the SARS-CoV-2 Genome Suggesting Sophisticated Laboratory Modification Rather Than Natural Evolution and Delineation of Its Probable Synthetic Route,0
3790,A Facebook post circulating on New Zealand social media accounts repeats refuted rumours of a secret United Nations agenda to create a â€œnew world orderâ€.,0
3808,"â€œ[COVID] would go away without the vaccine, George, but it's going to go away a lot faster with the vaccineâ€
â€œPeople don't want to wear masks. There are a lot of people [who] think the masks are not good.â€
â€œI didn't downplay [COVID]. I, actually, in many ways, I up-played it, in terms of action. My action was very strong.â€
â€œWe're very close to having a vaccine. ... We're within weeks of getting it.â€
â€œWe have 20% of the [COVID] cases because of the fact that we do much more testing. If we wouldn't do testing you wouldn't have cases. You would have very few cases.â€",0
3789,Image shows Amitabh Bachchan with Dawood Ibrahim,0
3786,A 13-year-old boy has died in Germany from the use of the mask,0
3785,An excerpt from a supposed school contingency plan to combat Covid-19 is being shared on social media. In the document it can be read that among the measures foreseen is the adoption of mixed bathrooms,0
3784,Images show police brutality against protesters demanding jobs in Uttar Pradesh in September 2020,0
3782,[0] Tuturial Receives 20GB Free Quota from the Covid-19 Program,0
3780,"In September 2020, Dr. Li-Meng Yan, a former post-doctoral student at Hong Kong University, appeared In multiple televised interviews claiming that she had proof SARS-CoV-2, the virus that causes COVID-19, was manufactured by the Chinese Communist Party in a Wuhan Lab.",0
3779,"Joe Biden â€œdidnâ€™t think [the coronavirus] was going to be a problem until months later,"" after late January. ""He was way late.""",0
3778,Video shows crowd at Shivraj Singh Chouhans rally chanted Kamal Nath,0
3777,"Judith Collins, NZ National Party leader, claims that NSW has had fewer COVID-19 deaths than New Zealand as well as a booming economy and fans are to attend rugby matches.",0
3787,Images show Shweta Bachchan partying.,0
3837,10 Trump Accomplishments,0
3809,"But if you look at the European Union right now, theyâ€™re having breakouts like youâ€™ve never seen before,â€ he said at the briefing. â€œAnd, frankly, their numbers are at a level that are much worse than the numbers here.â€",0
3811,The bodies of people killed by COVID-19 are being lowered in this Moscow hospital,0
3834,Belarusian President Alexander Lukashenko said the IMF offered bribes to impose social restrictions amid the Covid-19 pandemic,0
3832,My friend just buried 3 children after getting the vaccine from China. Confirmed in SP. Mourning,0
3831,Thailand enters highest stage of pandemic?,0
3829,"US imposed sanctions against Russia ""for developing a vaccine against COVID-19""",0
3828,The U.S. CDC encourages the use of a â€œ[COVID-19] flu shotâ€ on children.,0
3827,"My friend just buried 3 children after taking Ch""na""s vacc""na. Confirmed in SP Luto",0
3826,Pictures from the World Bank document that the Danish state sold covid-19 equipment abroad already in 2018,0
3825,A simple but fatal math mistake by US Covid-19 experts caused the world to panic and order lockdowns.,0
3810,Amitabh Bachchan visited Haji Ali Dargah after recovering from COVID-19,0
3824,Image claims Amitabh Bachchans went to Haji Ali Dargah after recovering from Covid-19,0
3820,"And you'll develop â€” you'll develop herd â€” like a herd mentality â€” it's going to be herd developed â€” and that's going to happen,' the president said Tuesday night. 'That will all happen. But with a vaccine I think it will go away very quickly. But I really believe we're rounding the corner. And I believe that strongly.'",0
3819,Mr. Trump repeated a claim Tuesday night he has made in the past â€” that COVID-19 is 'probably going to go away now a lot faster because of the vaccine' but 'would go away without the vaccine.',0
3818,"The president claimed he in fact 'up-played' COVID-19, after telling Washington Post journalist Bob Woodward he 'always wanted to play it down.' 'I didn't downplay it. I actually in many ways up-played it in action,' the president told the voter who asked him why he would 'downplay a pandemic that is known to disproportionately harm low-income families and minority communities.'",0
3817,The city of Bandung has been designated a black zone as Covid-19 cases have increased,0
3816,"The British Government rule that no more than six people are allowed to gather together for any reason, publicly or privately, is illegal and unenforceable.",0
3815,"PCR test for COVID-19 returned 0 positive results, exaggerating the number of Americans infected.",0
3814,Covid-19 regulations are illegal in Canada,0
3813,"The Centers for Disease Prevention and Control and the World Health Organization cut the number of COVID-19 deaths in the U.S. from 160,000 to just 9,000.",0
3822,The ECDC has added colors to its map of COVID-19 cases due to the situation in Madrid,0
3989,Thyrocare labs are sealed in Thane over 0-positive COVID19 testing,0
3890,"1,852 people died in one day in England from a heart attack.",0
3892,Photos of protest in Berlin against measures by COVID-19,0
3963,"Interestingly, the governor of MaranhÃ£o, FlÃ¡vio Dino, can do a funeral and funeral for his father, who died of Covid-19, without anyone wearing masks or keeping his distance",0
3961,Flu caused more deaths in the UK than Covid-19 did between 19 June and 31 July.,0
3960,"In New Zealand, health workers are rejoicing as the last corona patient recovers",0
3959,Pictures of a man wearing a helmet and sitting on a pothole on the road is from Uttar Pradesh targeting the Uttar Pradesh Government.,0
3958,National Health Mission under the Government of India has recently recommended that healthy people need not wear masks.,0
3957,[0] Penalty for entering a coffin for not wearing a mask,0
3956,The Philippines had 14 cases of SARS in 2003. The country did not impose a travel ban.,0
3955,"COVID INVESTIGATION REVIEWED BY PAIRS June 5, 2020",0
3964,"""Most people are immune to the coronavirus, says Karl Friston.""",0
3954,"A student from Pondicherry University has found a cure for COVID-19, which includes black pepper, ginger, honey.",0
3952,"The CDC ""quietly updated"" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions.",0
3951,They make mannequins pass for patients with covid-19,0
3950,"Roque did not say this, and Manila Bulletin did not produce this quote card.",0
